Exchange,InstrumentIdentifier,LastTradeTime,ServerTime,AverageTradedPrice,BuyPrice,BuyQty,Close,High,Low,LastTradePrice,LastTradeQty,Open,OpenInterest,QuotationLot,SellPrice,SellQty,TotalQtyTraded,Value,PreOpen,PriceChange,PriceChangePercentage,OpenInterestChange,MessageType
NSE,SBIN,1679907566,1679907567,508.7,512.9,193,505.35,514.15,501.55,512.9,358,507.0,0,1.0,512.95,729,12259517,6236416297.9,False,7.55,1.49,0,RealtimeResult
NSE,SBIN,1679907568,1679907568,508.7,512.9,16,505.35,514.15,501.55,512.85,536,507.0,0,1.0,512.95,729,12260053,6236688961.1,False,7.5,1.48,0,RealtimeResult
NSE,SBIN,1679907569,1679907569,508.7,512.9,53,505.35,514.15,501.55,512.95,17,507.0,0,1.0,512.95,786,12260070,6236697609.0,False,7.6,1.5,0,RealtimeResult
NSE,SBIN,1679907570,1679907570,508.7,512.8,274,505.35,514.15,501.55,512.95,503,507.0,0,1.0,512.9,14,12260573,6236953485.1,False,7.6,1.5,0,RealtimeResult
NSE,SBIN,1679907570,1679907570,508.7,512.8,274,505.35,514.15,501.55,512.9,10,507.0,0,1.0,512.9,4,12260583,6236958572.1,False,7.55,1.49,0,RealtimeResult
NSE,SBIN,1679907571,1679907571,508.7,512.8,184,505.35,514.15,501.55,512.8,113,507.0,0,1.0,512.9,13,12260696,6237016055.2,False,7.45,1.47,0,RealtimeResult
NSE,SBIN,1679907572,1679907573,508.7,512.85,200,505.35,514.15,501.55,512.9,356,507.0,0,1.0,512.9,14,12261052,6237197152.4,False,7.55,1.49,0,RealtimeResult
NSE,SBIN,1679907573,1679907574,508.7,512.8,109,505.35,514.15,501.55,512.85,420,507.0,0,1.0,512.85,1,12261472,6237410806.4,False,7.5,1.48,0,RealtimeResult
NSE,SBIN,1679907575,1679907575,508.7,512.85,1,505.35,514.15,501.55,512.85,460,507.0,0,1.0,512.9,31,12261932,6237644808.4,False,7.5,1.48,0,RealtimeResult
NSE,SBIN,1679907576,1679907576,508.7,512.85,1,505.35,514.15,501.55,512.9,4,507.0,0,1.0,512.9,27,12261936,6237646843.2,False,7.55,1.49,0,RealtimeResult
NSE,SBIN,1679907577,1679907577,508.7,512.85,342,505.35,514.15,501.55,512.85,16,507.0,0,1.0,512.9,27,12261952,6237654982.4,False,7.5,1.48,0,RealtimeResult
NSE,SBIN,1679907578,1679907578,508.7,512.85,322,505.35,514.15,501.55,512.85,20,507.0,0,1.0,512.9,28,12261972,6237665156.4,False,7.5,1.48,0,RealtimeResult
NSE,SBIN,1679907579,1679907579,508.7,512.85,139,505.35,514.15,501.55,512.9,442,507.0,0,1.0,512.9,148,12262414,6237890001.8,False,7.55,1.49,0,RealtimeResult
NSE,SBIN,1679907580,1679907580,508.7,512.9,2,505.35,514.15,501.55,512.8,2997,507.0,0,1.0,512.95,1226,12265411,6239414575.7,False,7.45,1.47,0,RealtimeResult
NSE,SBIN,1679907581,1679907581,508.7,512.85,673,505.35,514.15,501.55,512.85,432,507.0,0,1.0,512.9,27,12265843,6239634334.1,False,7.5,1.48,0,RealtimeResult
NSE,SBIN,1679907582,1679907582,508.7,512.75,1271,505.35,514.15,501.55,512.8,1181,507.0,0,1.0,512.8,494,12267024,6240235108.8,False,7.45,1.47,0,RealtimeResult
NSE,SBIN,1679907583,1679907583,508.7,512.75,1066,505.35,514.15,501.55,512.8,2120,507.0,0,1.0,512.8,500,12269144,6241313552.8,False,7.45,1.47,0,RealtimeResult
NSE,SBIN,1679907584,1679907584,508.7,512.75,1256,505.35,514.15,501.55,512.8,1381,507.0,0,1.0,512.8,120,12270525,6242016067.5,False,7.45,1.47,0,RealtimeResult
NSE,SBIN,1679907585,1679907585,508.7,512.75,958,505.35,514.15,501.55,512.75,117,507.0,0,1.0,512.8,106,12270642,6242075585.4,False,7.4,1.46,0,RealtimeResult
NSE,SBIN,1679907586,1679907586,508.7,512.75,649,505.35,514.15,501.55,512.75,371,507.0,0,1.0,512.8,150,12271013,6242264313.1,False,7.4,1.46,0,RealtimeResult
NSE,SBIN,1679907587,1679907587,508.7,512.75,646,505.35,514.15,501.55,512.8,253,507.0,0,1.0,512.8,419,12271266,6242393014.2,False,7.45,1.47,0,RealtimeResult
NSE,SBIN,1679907588,1679907588,508.71,512.8,1482,505.35,514.15,501.55,512.8,1220,507.0,0,1.0,512.9,100,12272486,6243136353.06,False,7.45,1.47,0,RealtimeResult
NSE,SBIN,1679907589,1679907589,508.71,512.8,1380,505.35,514.15,501.55,512.8,105,507.0,0,1.0,512.9,97,12272591,6243189767.61,False,7.45,1.47,0,RealtimeResult
NSE,SBIN,1679907590,1679907590,508.71,512.8,1288,505.35,514.15,501.55,512.8,121,507.0,0,1.0,512.9,81,12272712,6243251321.52,False,7.45,1.47,0,RealtimeResult
NSE,SBIN,1679907591,1679907591,508.71,512.8,1287,505.35,514.15,501.55,512.8,31,507.0,0,1.0,512.9,51,12272743,6243267091.53,False,7.45,1.47,0,RealtimeResult
NSE,SBIN,1679907592,1679907592,508.71,512.8,1288,505.35,514.15,501.55,512.8,0,507.0,0,1.0,512.85,59,12272743,6243267091.53,False,7.45,1.47,0,RealtimeResult
NSE,SBIN,1679907593,1679907593,508.71,512.8,1254,505.35,514.15,501.55,512.85,551,507.0,0,1.0,512.85,42,12273294,6243547390.74,False,7.5,1.48,0,RealtimeResult
NSE,SBIN,1679907594,1679907594,508.71,512.8,1254,505.35,514.15,501.55,512.9,77,507.0,0,1.0,512.9,517,12273371,6243586561.41,False,7.55,1.49,0,RealtimeResult
NSE,SBIN,1679907595,1679907595,508.71,512.8,849,505.35,514.15,501.55,512.8,494,507.0,0,1.0,512.85,49,12273865,6243837864.15,False,7.45,1.47,0,RealtimeResult
NSE,SBIN,1679907596,1679907596,508.71,512.75,2141,505.35,514.15,501.55,512.8,959,507.0,0,1.0,512.8,91,12274824,6244325717.04,False,7.45,1.47,0,RealtimeResult
NSE,SBIN,1679907597,1679907597,508.71,512.8,1301,505.35,514.15,501.55,512.85,1450,507.0,0,1.0,512.85,47,12276274,6245063346.54,False,7.5,1.48,0,RealtimeResult
NSE,SBIN,1679907598,1679907598,508.71,512.75,1829,505.35,514.15,501.55,512.8,1431,507.0,0,1.0,512.95,2500,12277705,6245791310.55,False,7.45,1.47,0,RealtimeResult
NSE,SBIN,1679907599,1679907599,508.71,512.8,4353,505.35,514.15,501.55,512.8,51,507.0,0,1.0,512.95,2500,12277756,6245817254.76,False,7.45,1.47,0,RealtimeResult
NSE,SBIN,1679907600,1679907600,508.71,512.85,10,505.35,514.15,501.55,512.8,799,507.0,0,1.0,512.95,2625,12278555,6246223714.05,False,7.45,1.47,0,RealtimeResult
NSE,SBIN,1679907600,1679907600,508.71,512.85,72,505.35,514.15,501.55,512.95,9,507.0,0,1.0,512.95,2651,12278564,6246228292.44,False,7.6,1.5,0,RealtimeResult
NSE,SBIN,1679907601,1679907601,508.71,512.85,72,505.35,514.15,501.55,512.95,215,507.0,0,1.0,512.95,2436,12278779,6246337665.09,False,7.6,1.5,0,RealtimeResult
NSE,SBIN,1679907602,1679907602,508.71,512.85,247,505.35,514.15,501.55,512.95,666,507.0,0,1.0,512.95,1821,12279445,6246676465.95,False,7.6,1.5,0,RealtimeResult
NSE,SBIN,1679907603,1679907603,508.71,512.8,3779,505.35,514.15,501.55,512.85,1353,507.0,0,1.0,512.85,15248,12280798,6247364750.58,False,7.5,1.48,0,RealtimeResult
NSE,SBIN,1679907604,1679907604,508.71,512.8,3779,505.35,514.15,501.55,512.85,18,507.0,0,1.0,512.85,15230,12280816,6247373907.36,False,7.5,1.48,0,RealtimeResult
NSE,SBIN,1679907605,1679907605,508.71,512.8,3837,505.35,514.15,501.55,512.85,52,507.0,0,1.0,512.85,15180,12280868,6247400360.28,False,7.5,1.48,0,RealtimeResult
NSE,SBIN,1679907606,1679907607,508.71,512.9,177,505.35,514.15,501.55,512.85,15343,507.0,0,1.0,512.95,1861,12296211,6255205497.81,False,7.5,1.48,0,RealtimeResult
NSE,SBIN,1679907607,1679907608,508.71,512.9,203,505.35,514.15,501.55,512.95,1892,507.0,0,1.0,512.95,2543,12298103,6256167977.13,False,7.6,1.5,0,RealtimeResult
NSE,SBIN,1679907608,1679907609,508.71,512.9,250,505.35,514.15,501.55,512.95,383,507.0,0,1.0,512.95,2157,12298486,6256362813.06,False,7.6,1.5,0,RealtimeResult
NSE,SBIN,1679907609,1679907609,508.71,512.85,2461,505.35,514.15,501.55,512.95,2662,507.0,0,1.0,512.95,1495,12301148,6257716999.08,False,7.6,1.5,0,RealtimeResult
NSE,SBIN,1679907610,1679907610,508.72,512.85,1575,505.35,514.15,501.55,512.95,145,507.0,0,1.0,512.95,1588,12301293,6257913774.96,False,7.6,1.5,0,RealtimeResult
NSE,SBIN,1679907611,1679907611,508.72,512.85,2165,505.35,514.15,501.55,512.95,280,507.0,0,1.0,512.95,1337,12301573,6258056216.56,False,7.6,1.5,0,RealtimeResult
NSE,SBIN,1679907612,1679907612,508.72,512.85,2018,505.35,514.15,501.55,512.85,402,507.0,0,1.0,512.95,1021,12301975,6258260722.0,False,7.5,1.48,0,RealtimeResult
NSE,SBIN,1679907613,1679907613,508.72,512.85,2716,505.35,514.15,501.55,512.95,7623,507.0,0,1.0,512.95,1046,12309598,6262138694.56,False,7.6,1.5,0,RealtimeResult
NSE,SBIN,1679907615,1679907615,508.72,512.9,229,505.35,514.15,501.55,512.95,639,507.0,0,1.0,512.95,712,12310237,6262463766.64,False,7.6,1.5,0,RealtimeResult
NSE,SBIN,1679907616,1679907616,508.72,512.9,25,505.35,514.15,501.55,512.9,996,507.0,0,1.0,512.95,2431,12311233,6262970451.76,False,7.55,1.49,0,RealtimeResult
NSE,SBIN,1679907617,1679907617,508.72,512.85,3623,505.35,514.15,501.55,512.85,774,507.0,0,1.0,512.95,2131,12312007,6263364201.04,False,7.5,1.48,0,RealtimeResult
NSE,SBIN,1679907618,1679907618,508.72,512.85,3422,505.35,514.15,501.55,512.85,301,507.0,0,1.0,512.95,2160,12312308,6263517325.76,False,7.5,1.48,0,RealtimeResult
NSE,SBIN,1679907618,1679907618,508.72,512.85,3422,505.35,514.15,501.55,512.85,0,507.0,0,1.0,512.95,2160,12312308,6263517325.76,False,7.5,1.48,0,RealtimeResult
NSE,SBIN,1679907619,1679907619,508.72,512.9,137,505.35,514.15,501.55,512.95,370,507.0,0,1.0,512.95,1790,12312678,6263705552.16,False,7.6,1.5,0,RealtimeResult
NSE,SBIN,1679907621,1679907621,508.72,512.9,92,505.35,514.15,501.55,512.9,225,507.0,0,1.0,512.95,1618,12312903,6263820014.16,False,7.55,1.49,0,RealtimeResult
NSE,SBIN,1679907622,1679907622,508.72,512.9,50,505.35,514.15,501.55,512.85,4848,507.0,0,1.0,513.0,4377,12317751,6266286288.72,False,7.5,1.48,0,RealtimeResult
NSE,SBIN,1679907623,1679907623,508.72,512.8,157,505.35,514.15,501.55,512.8,5976,507.0,0,1.0,513.0,4453,12323727,6269326399.44,False,7.45,1.47,0,RealtimeResult
NSE,SBIN,1679907624,1679907624,508.72,512.8,203,505.35,514.15,501.55,513.0,565,507.0,0,1.0,513.0,4253,12324292,6269613826.24,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907625,1679907625,508.72,512.9,88,505.35,514.15,501.55,513.0,90,507.0,0,1.0,513.0,3719,12324382,6269659611.04,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907625,1679907626,508.72,512.9,36,505.35,514.15,501.55,512.9,560,507.0,0,1.0,513.0,3259,12324942,6269944494.24,False,7.55,1.49,0,RealtimeResult
NSE,SBIN,1679907626,1679907627,508.72,512.9,183,505.35,514.15,501.55,513.0,1129,507.0,0,1.0,513.0,2172,12326071,6270518839.12,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907627,1679907628,508.72,512.95,623,505.35,514.15,501.55,513.0,2214,507.0,0,1.0,513.0,151,12328285,6271645145.2,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907628,1679907629,508.72,512.95,553,505.35,514.15,501.55,513.0,414,507.0,0,1.0,513.0,270,12328699,6271855755.28,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907629,1679907630,508.72,512.95,551,505.35,514.15,501.55,513.0,490,507.0,0,1.0,513.0,172,12329189,6272105028.08,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907630,1679907631,508.72,512.95,260,505.35,514.15,501.55,512.95,442,507.0,0,1.0,513.0,190,12329631,6272329882.32,False,7.6,1.5,0,RealtimeResult
NSE,SBIN,1679907632,1679907632,508.72,512.95,256,505.35,514.15,501.55,513.0,100,507.0,0,1.0,513.0,201,12329731,6272380754.32,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907633,1679907633,508.73,512.9,148,505.35,514.15,501.55,512.95,4016,507.0,0,1.0,512.95,11,12333747,6274547111.31,False,7.6,1.5,0,RealtimeResult
NSE,SBIN,1679907633,1679907633,508.73,512.95,215,505.35,514.15,501.55,512.95,133,507.0,0,1.0,513.0,201,12333880,6274614772.4,False,7.6,1.5,0,RealtimeResult
NSE,SBIN,1679907635,1679907635,508.73,512.95,27,505.35,514.15,501.55,512.95,157,507.0,0,1.0,513.0,190,12334037,6274694643.01,False,7.6,1.5,0,RealtimeResult
NSE,SBIN,1679907635,1679907635,508.73,512.95,27,505.35,514.15,501.55,513.0,441,507.0,0,1.0,513.0,291,12334478,6274918992.94,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907636,1679907637,508.73,512.95,209,505.35,514.15,501.55,513.0,6,507.0,0,1.0,513.0,286,12334484,6274922045.32,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907637,1679907637,508.73,512.95,178,505.35,514.15,501.55,513.0,323,507.0,0,1.0,513.0,258,12334807,6275086365.11,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907638,1679907639,508.73,512.95,178,505.35,514.15,501.55,513.0,111,507.0,0,1.0,513.0,170,12334918,6275142834.14,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907640,1679907640,508.73,512.95,258,505.35,514.15,501.55,513.0,42,507.0,0,1.0,513.0,159,12334960,6275164200.8,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907641,1679907641,508.73,512.95,258,505.35,514.15,501.55,513.0,114,507.0,0,1.0,513.0,83,12335074,6275222196.02,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907642,1679907642,508.73,512.95,225,505.35,514.15,501.55,512.95,138,507.0,0,1.0,513.0,83,12335212,6275292400.76,False,7.6,1.5,0,RealtimeResult
NSE,SBIN,1679907643,1679907643,508.73,512.95,525,505.35,514.15,501.55,513.0,529,507.0,0,1.0,513.0,262,12335741,6275561518.93,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907644,1679907644,508.73,512.95,145,505.35,514.15,501.55,513.0,3037,507.0,0,1.0,513.0,18,12338778,6277106531.94,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907644,1679907644,508.73,512.95,145,505.35,514.15,501.55,512.95,1,507.0,0,1.0,513.0,18,12338779,6277107040.67,False,7.6,1.5,0,RealtimeResult
NSE,SBIN,1679907645,1679907646,508.73,512.95,145,505.35,514.15,501.55,513.0,655,507.0,0,1.0,513.0,18,12339434,6277440258.82,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907646,1679907647,508.73,512.95,145,505.35,514.15,501.55,513.0,334,507.0,0,1.0,513.0,22,12339768,6277610174.64,False,7.65,1.51,0,RealtimeResult
NSE,SBIN,1679907647,1679907648,508.73,512.95,143,505.35,514.15,501.55,512.95,265,507.0,0,1.0,513.0,20,12340033,6277744988.09,False,7.6,1.5,0,RealtimeResult
NSE,SBIN,1679907648,1679907649,508.73,513.0,153,505.35,514.15,501.55,513.2,914,507.0,0,1.0,513.15,93,12340947,6278209967.31,False,7.85,1.55,0,RealtimeResult
NSE,SBIN,1679907649,1679907650,508.73,513.0,10,505.35,514.15,501.55,513.15,3,507.0,0,1.0,513.15,539,12340950,6278211493.5,False,7.8,1.54,0,RealtimeResult
