ServerTime,Exchange,InstrumentIdentifier,AverageTradedPrice,BuyPrice,BuyQty,LastTradePrice,LastTradeQty,OpenInterest,QuotationLot,SellPrice,SellQty,Value,Open,High,Low,Close,TotalQtyTraded
2023-03-27 14:25:00+05:30,NSE,SBIN,44765.25,45140.45,60697,512.8,51,0,88.0,45150.7,34303,6245817254.76,507.0,514.15,501.55,505.35,1077674292
2023-03-27 14:30:00+05:30,NSE,SBIN,152626.55,153863.2,245494,512.4,575,0,300.0,153888.55000000002,290299,6410016873.36,507.0,514.15,501.55,505.35,3725973273
2023-03-27 14:35:00+05:30,NSE,SBIN,150629.43,151916.1,219957,513.2,5441,0,296.0,151954.15,148309,6611020275.6,507.0,514.15,501.55,505.35,3789371235
